NOM_COLLECTIVITE,ID_COLLECTIVITE,DELIB_DATE,DELIB_NUM,DELIB_OBJET,DIRECTION_EMETTRICE,DELEGATION_EMETTRICE
Marseille,21130055300327,2019-09-16,19/0987/DDCV,Intervention de la Ville dans le cadre de l'incendie de la copropriété Maison Blanche survenu le 23 août 2019.,DIRECTION DE LA PREVENTION ET DE LA GESTION DES RISQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300328,2019-09-16,19/0986/ECSS,SERVICE DEVELOPPPEMENT TERRITORIAL - Attribution d'une subvention à Aix-Marseille Université pour l'organisation du Grand Forum Santé 2019.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300329,2019-09-16,19/0985/ECSS,"Accueil de Loisirs Sans Hébergement (ALSH) le Chalet - Création d'une salle de repos pour les enfants de moins de 6 ans - 20, rue Vert Clos - 15ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300330,2019-09-16,19/0984/ECSS,Gratuité de l'accès aux piscines municipales du 28 juin 2019 au 1er juillet 2019 dans le cadre du plan canicule.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300331,2019-09-16,19/0983/ECSS,Gestion et exploitation du complexe sportif Jean Bouin - Saisine du Comité Technique.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300332,2019-09-16,19/0982/ECSS,Convention de Délégation de Service Public n°14/04233 pour la gestion et l'exploitation du Centre Equestre Marseille-Pastré - Approbation de l'avenant n°6 relatif à des ajustements tarifaires des activités de service public.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300333,2019-09-16,19/0981/ECSS,Convention de Délégation de Service Public n°18/0621 pour la gestion et l'exploitation du Complexe Sportif René Magnac - Approbation de l'avenant n°1 relatif à des modifications de l'article 23.1 et de l'annexe 6 à la convention.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300334,2019-09-16,19/0980/ECSS,"Approbation d'attribution de subventions de fonctionnement et d'aide à l'action, année 2019, aux associations culturelles - 4ème répartition - Approbation des conventions et des avenants aux conventions conclues entre la Ville de Marseille et diverses associations.",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300335,2019-09-16,19/0979/ECSS,"Musée de la Vieille Charité - Modernisation des systèmes de sûreté, sécurité et divers équipements techniques - 2, rue de la Charité - 2ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300336,2019-09-16,19/0978/ECSS,"Villa Mistral - Réhabilitation de la Villa Mistral en vue de sa réaffectation en pôle culturel - 122, plage de l'Estaque - 16ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300337,2019-09-16,19/0977/ECSS,"Approbation de l'opération de sécurisation des collections au dépôt archéologique municipal (Pôle Archéologie du musée d'histoire de Marseille) sis au 146, avenue Roger Salengro - 3ème arrondissement - Approbation de l'affectation de l'autorisation de programme - Financement.",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300338,2019-09-16,19/0976/ECSS,"Crèche collective de La Major - Rénovation des systèmes CVC et des installations de plomberie - 9, rue de l'Observance - 2ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300339,2019-09-16,19/0975/ECSS,"Groupe Scolaire les Borels - Aménagement des abords et création d'un accès pompiers - 3, boulevard Bellevue - 15ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300340,2019-09-16,19/0974/ECSS,"SERVICE MAITRISE D'OUVRAGE - Restructuration des locaux de l'école Supérieure du Professorat et de l'Éducation, 30 et 32, rue Eugène Cas - 4ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études - Financement.",DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300341,2019-09-16,19/0973/ECSS,Regroupement des écoles de Airbel - Cité Airbel - 11ème arrondissement -Approbation du programme - Approbation de l'affectation de l'autorisation de programme relative aux études et travaux - Financement.,DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300342,2019-09-16,19/0972/ECSS,"Réfection de l'ensemble des menuiseries du Groupe Scolaire Major Evêché - 41, rue de l'Evêché - 2ème arrondissement - 4ème tranche de travaux - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300343,2019-09-16,19/0971/ECSS,"Ecole Saint André Barnier - Rénovation des blocs sanitaires et des réseaux - 274, rue Henri Barnier - 16ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300344,2019-09-16,19/0970/ECSS,"Ecole élémentaire Estaque Plage - Rénovation partielle de l'école et divers travaux connexes - 2, montée des Ecoles - 16ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300345,2019-09-16,19/0969/ECSS,"Restructuration de l'école élémentaire National - 179, boulevard National - 3ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300346,2019-09-16,19/0968/ECSS,"Restructuration du Groupe Scolaire Arenc Bachas - 56, rue Bachas et 15, boulevard Ferdinand de Lesseps - 15ème arrondissement -  2ème tranche - Approbation de l'augmentation de l'affectation de l'autorisation de programme relative aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300347,2019-09-16,19/0967/ECSS,Mise en place d'un dispositif d'alerte Plan Particulier de Mise en Sûreté (PPMS) dans les écoles - Approbation de l'affectation de l'autorisation de programme relative aux études et travaux.,DIRECTION DES RESSOURCES PARTAGEES (DGAAVE),DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300348,2019-09-16,19/0966/ECSS,SERVICE DE L'ANIMATION ET DES EQUIPEMENTS SOCIAUX - Attribution d'une subvention complémentaire à l'association Vacances Tourisme et Loisirs Léo Lagrange.,DIRECTION DE L'ACTION SOCIALE ET DE L'ANIMATION,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300349,2019-09-16,19/0965/ECSS,Délocalisation du centre social de Air-Bel - Cité Air-Bel - 11ème arrondissement  - Approbation du programme - Approbation de l'affectation de l'autorisation de programme relative aux études et travaux - Financement.,DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300350,2019-09-16,19/0964/ECSS,Création du Centre Social Saint Just Corot et d'une aire multi-activités - Impasse Signoret - 13ème arrondissement - Approbation de l'augmentation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.,DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300351,2019-09-16,19/0963/ECSS,Approbation d'une convention d'objectifs et de performance avec le Centre Communal d'Action Sociale.,DIRECTION DE L'ACTION SOCIALE ET DE L'ANIMATION,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300352,2019-09-16,19/0962/UAGP,SERVICE MAITRISE D'OUVRAGE - Requalification et mise en valeur du site archéologique du port antique de Marseille - Approbation de l'augmentation de l'affectation de l'autorisation de programme - Financement.,DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300353,2019-09-16,19/0961/UAGP, SERVICE MAITRISE D'OUVRAGE - Etudes de maîtrise d'oeuvre pour la restructuration de l'accueil du Musée d'Histoire de Marseille et la création d'une nouvelle séquence muséographique - Approbation de l'affectation de l'autorisation de programme relative aux études - Financements.,DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300354,2019-09-16,19/0960/UAGP,- SERVICE MAITRISE D'OUVRAGE - Restauration de la première ceinture des remparts du fort d'Entrecasteaux - 7ème arrondissement - Diagnostic - Approbation de l'affectation de l'autorisation de programme relative aux études préalables - Financement.,DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300355,2019-09-16,19/0959/UAGP,Programme DSU - 2ème série d'opération d'investissement 2019.,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE",
Marseille,21130055300356,2019-09-16,19/0958/UAGP,"SERVICE DE L'ACTION FONCIERE - 5ème arrondissement - 8, rue Capitaine Galinat - Extension du groupe scolaire Sainte Cécile - Acquisition par voie amiable ou par voie d'expropriation ou établissement de servitude d'utilité publique.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300357,2019-09-16,19/0957/UAGP,"SERVICE DE L'ACTION FONCIERE - 1er arrondissement - Belsunce - 25 / 27, rue d'Aix - Approbation des régularisations foncières à opérer par cession complémentaire par la Ville de Marseille au profit d'Aix-Marseille Université (AMU) pour l'occupation nécessaire au fonctionnement du site Universitaire Puget.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300358,2019-09-16,19/0956/UAGP,SERVICE DE L'ACTION FONCIERE - Convention tripartite n°3 de remise des ouvrages de la rocade L2 à Marseille secteur Mérimée Ouest/Est et passerelles Vitta et Lauriers.,DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300359,2019-09-16,19/0955/UAGP," SERVICE DE L'ACTION FONCIERE - 1er arrondissement - Quartier Le Chapitre - 125, la Canebière - Complexe cinématographique Artplexe - Avenant au bail emphytéotique administratif.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300360,2019-09-16,19/0954/UAGP,"Presbytère de l'église Saint Lazare - Travaux de mise en sécurité - 10, rue du Pasteur Heuzé - 3ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300361,2019-09-16,19/0953/UAGP,Hôtel de Ville - Pavillons Puget et Bargemon -  Modernisation des systèmes techniques et divers travaux annexes dans le cadre de la rénovation énergétique - 2ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux.,DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300362,2019-09-16,19/0952/UAGP,Approbation de l'avenant à la convention d'utilisation de l'abattement de la Taxe Foncière sur les Propriétés Bâties (TFPB) dans les Quartiers Politique de la Ville du Conseil de territoire Marseille Provence.,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE",
Marseille,21130055300363,2019-09-16,19/0951/UAGP,Approbation de l'avenant au contrat de Ville du territoire de Marseille Provence.,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE",
Marseille,21130055300364,2019-09-16,19/0950/EFAG,SERVICE DEVELOPPEMENT TERRITORIAL -  DIVISION VIE ETUDIANTE - Attribution de prix aux lauréats des Trophées Phocéens étudiants au titre de l'année 2019.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300365,2019-09-16,19/0949/EFAG,SERVICE DEVELOPPEMENT TERRITORIAL - DIVISION VIE ETUDIANTE - Attribution de prix aux lauréats des Talents Phocéens étudiants au titre de l'année 2019.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300366,2019-09-16,19/0948/EFAG,SERVICE DES ARCHIVES MUNICIPALES -  Approbation d'une convention de partenariat conclue entre la Ville de Marseille et le Ministère de la Justice - Unité Educative en Milieu Ouvert.,DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300367,2019-09-16,19/0947/EFAG,DIRECTION GENERALE ADJOINTE DE L'ARCHITECTURE ET VALORISATION DES EQUIPEMENTS - DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION - SERVICE MONUMENTS ET PATRIMOINE HISTORIQUES - Restitution et restauration de l'orgue de l'église Saint-Philippe à l'église Saint-Joseph - 6ème arrondissement - Construction d'un orgue neuf pour l'église Saint-Philippe - Approbation de l'affectation de l'autorisation de programme relative aux études et travaux - Financement.,DIRECTION GENERALE DES SERVICES,
Marseille,21130055300368,2019-09-16,19/0946/EFAG,Budget supplémentaire 2019.,DIRECTION DU BUDGET,DIRECTION GENERALE ADJOINTE DES FINANCES ET DES MOYENS GENERAUX
Marseille,21130055300369,2019-09-16,19/0945/EFAG,"Demande de dommages et intérêts suite à la prise en charge d'un blessé par le Bataillon des Marins-Pompiers de Marseille - Protocole transactionnel entre les Consorts Timhadjelt, la Société AXA France IARD et la Ville de Marseille.",DIRECTION DU CONTENTIEUX,DIRECTION GENERALE ADJOINTE DE L'ACTION JURIDIQUE
Marseille,21130055300370,2019-09-16,19/0944/EFAG,Approbation d'une convention de bénévolat pour le Gala Marseille Espérance 2019.,DIRECTION DE LA COMMUNICATION ET DE L'IMAGE,DIRECTION GENERALE ADJOINTE DE L'ATTRACTIVITE ET DE LA PROMOTION DE MARSEILLE
Marseille,21130055300371,2019-09-16,19/0943/EFAG,Recrutement de personnel contractuel.,DIRECTION GENERALE ADJOINTE DES RESSOURCES HUMAINES,
Marseille,21130055300372,2019-09-16,19/0942/EFAG,INSPECTION GENERALE DES SERVICES - Adhésion des agents de l'Inspection Générale des Services de la Ville de Marseille à l'Institut Français de l'Audit et du Contrôle Interne (IFACI).,DIRECTION GENERALE DES SERVICES,
Marseille,21130055300373,2019-09-16,19/0941/EFAG,"DIRECTION DELEGUEE AUX JEUX OLYMPIQUES ET AUX GRANDS EVENEMENTS - Approbation d'une convention entre la Ville de Marseille, l'Office Métropolitain de Tourisme et des Congrès de Marseille et l'association TERAGIR pour l'accompagnement des hôtels de Marseille dans une démarche de développement durable - Attribution d'une subvention de projet à l'association TERAGIR.",DIRECTION GENERALE DES SERVICES,
Marseille,21130055300374,2019-09-16,19/0940/EFAG,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE -  DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE - Etudes et travaux de sécurisation, de confortement, de restauration du clos et de couvert ou de démolition d'immeubles communaux dégradés - Approbation de l'avenant n°1 à la convention de mandat n°2019/80152 - Approbation de l'augmentation de l'affectation de l'autorisation de Programme. Financement.",DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300375,2019-09-16,19/0939/DDCV,"BATAILLON DE MARINS-POMPIERS DE MARSEILLE - Convention relative à la supervision, l'administration, l'exploitation et la maintenance du système mobile Data Gateway par les Services d'Incendie et de Secours et le Service d'Aide Médicale Urgente des Bouches-du-Rhône.",DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE,
Marseille,21130055300376,2019-09-16,19/0938/DDCV,BATAILLON DE MARINS-POMPIERS - Renouvellement des engins et matériels de lutte contre l'incendie et de secours pour la période 2020-2021 - 1ère tranche - Financement.,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE,
Marseille,21130055300377,2019-09-16,19/0937/DDCV,BATAILLON DE MARINS-POMPIERS DE MARSEILLE - Défense extérieure contre l'incendie (DECI) - Règlement départemental - Modification de la périodicité du contrôle des points d'eau d'incendie.,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE,
Marseille,21130055300378,2019-09-16,19/0936/DDCV,BATAILLON DE MARINS-POMPIERS - Sortie d'inventaire de matériels roulants.,DIRECTION GENERALE ADJOINTE DES SERVICES DE SECOURS ET D'INCENDIE,
Marseille,21130055300379,2019-09-16,19/0935/DDCV,Attribution de subventions à différentes associations pour des projets d'éducation à l'environnement marin et littoral - AIEJE et « Les clés de la cité »  - Approbation des conventions associées.,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300380,2019-09-16,19/0934/DDCV,"Attribution de subventions à l'association Atelier Bleu du Cap de l'Aigle - CPIE Côte provençale, pour ses projets d'éducation à l'environnement marin et littoral - Approbation de la convention associée.",DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300381,2019-09-16,19/0933/DDCV,SERVICE MER ET LITTORAL - Politique pour la mer et le littoral - Attribution d'une subvention à l'association Alpes de Lumière - Approbation d'une convention.,DIRECTION DE LA MER,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300382,2019-09-16,19/0932/DDCV,Aménagement des abords du poste de secours de la Calanque de Sormiou - 9ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux ,DIRECTION TERRITORIALE DES BATIMENTS SUD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300383,2019-09-16,19/0931/DDCV,"DIRECTION DELEGUEE AUX JEUX OLYMPIQUES ET AUX GRANDS EVENEMENTS - Jeux olympiques 2024 - Village Olympique de voile - Réhabilitation d'un bâtiment municipal en hébergement - 2, promenade Georges Pompidou - 8ème arrondissement - Approbation du programme - Approbation de l'affectation de l'autorisation de programme études - Lancement d'une consultation de maîtrise d'œuvre - Financement. ",DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300384,2019-09-16,19/0930/DDCV,SERVICE DE LA SANTE PUBLIQUE ET DES PERSONNES HANDICAPEES - Subventions attribuées aux associations et établissements développant des projets de santé publique - Hors Libéralité - 2ème répartition.,DIRECTION DE LA SANTE DE LA SOLIDARITE ET DE L'INCLUSION,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300385,2019-09-16,19/0929/DDCV,SERVICE DE LA SANTE PUBLIQUE ET DES PERSONNES HANDICAPEES - Subventions attribuées aux associations développant des projets de santé publique - Libéralité - 2ème répartition.,DIRECTION DE LA SANTE DE LA SOLIDARITE ET DE L'INCLUSION,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300386,2019-09-16,19/0928/DDCV,"SERVICE ECLAIRAGE PUBLIC ET ILLUMINATIONS - Travaux concernant des opérations de grosses réparations, de rénovations ou d'extensions des installations d'éclairage public et de mises en lumière de la ville de Marseille - Annulation de la délibération n°18/1028/DDCV du 20 décembre 2018.",DIRECTION DE L'ENVIRONNEMENT ET DU CADRE DE VIE,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300387,2019-09-16,19/0927/DDCV,SERVICE ECLAIRAGE PUBLIC ET ILLUMINATIONS - Fourniture de matériels électriques nécessaires aux travaux neufs et d'entretien des installations d'éclairage ou de mises en lumière effectuées par la Ville de Marseille.,DIRECTION DE L'ENVIRONNEMENT ET DU CADRE DE VIE,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300388,2019-09-16,19/0926/DDCV,SERVICE ECLAIRAGE PUBLIC ET ILLUMINATIONS - Exercice de la compétence Eclairage Public - Approbation d'une Convention de Maîtrise d'Ouvrage Déléguée entre la Métropole Aix-Marseille Provence et la Ville de Marseille - Affectations et augmentation d'autorisation de programme - Fonds de concours alloué à la Métropole.,DIRECTION DE L'ENVIRONNEMENT ET DU CADRE DE VIE,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300389,2019-09-16,19/0925/DDCV,SERVICE DEVELOPPEMENT DURABLE ET BIODIVERSITE - Attribution d'une subvention à l'association Recyclodrome pour l'année 2019 - Approbation d'une convention.,DIRECTION DE L'ENVIRONNEMENT ET DU CADRE DE VIE,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300390,2019-09-16,19/0924/DDCV,SERVICE DEVELOPPEMENT DURABLE ET BIODIVERSITE - Attribution d'une subvention à l'association Ordinome pour la réalisation du projet Recyclart - Approbation d'une convention.,DIRECTION DE L'ENVIRONNEMENT ET DU CADRE DE VIE,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300391,2019-09-16,19/0923/DDCV,SERVICE DEVELOPPEMENT DURABLE ET BIODIVERSITE - Attribution d'une subvention à l'Association pour la Cité des Arts de la Rue et à la Ligue pour la Protection des Oiseaux Provence-Alpes-Côte d'Azur - Approbation de conventions.,DIRECTION DE L'ENVIRONNEMENT ET DU CADRE DE VIE,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300392,2019-09-16,19/0922/ECSS,SERVICE DEVELOPPEMENT TERRITORIAL - Attribution d'une subvention de fonctionnement à l'association « Les Petits Débrouillards PACA » au titre de l'organisation du « Village des Sciences de Marseille» en 2019  - Approbation d'une convention.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300393,2019-09-16,19/0921/ECSS,SERVICE DEVELOPPEMENT TERRITORIAL - Attribution d'une subvention de fonctionnement à l'Association Hippo'Thèse au titre de l'organisation du « Forum Hippo'Thèse des Jeunes Chercheurs » - Approbation d'une convention.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300394,2019-09-16,19/0920/ECSS,"SERVICE DEVELOPPEMENT TERRITORIAL - Attribution d'une subvention à Aix-Marseille Université pour l'organisation de la manifestation ""Semaine AMU Entreprises"" en 2019.",DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300395,2019-09-16,19/0919/ECSS,SERVICE DEVELOPPEMENT TERRITORIAL - Attribution d'une subvention à l'antenne Méditerranéenne de l'Ecole Nationale Supérieure de Paysage (ENSP) au titre de l'année 2019.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300396,2019-09-16,19/0918/ECSS,SERVICE DEVELOPPEMENT TERRITORIAL - Attribution de subventions au CNRS Délégation Provence et Corse pour l'organisation de quatre manifestations scientifiques.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300397,2019-09-16,19/0917/ECSS,SERVICE DEVELOPPEMENT TERRITORIAL - Attribution de subventions à Aix-Marseille Université pour l'organisation de deux  manifestations scientifiques.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300398,2019-09-16,19/0916/ECSS,SERVICE ACCUEIL LOISIRS JEUNES - Subventions aux associations Animation de la Jeunesse dans les Quartiers - Approbation de conventions - Exercice 2019 - 2ème répartition.,DIRECTION DE L'ACTION SOCIALE ET DE L'ANIMATION,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300399,2019-09-16,19/0915/ECSS,SERVICE DE L'ANIMATION ET DES EQUIPEMENTS SOCIAUX - Attribution de subventions à des associations agissant en faveur des Droits des Femmes - 3ème répartition 2019. ,DIRECTION DE L'ACTION SOCIALE ET DE L'ANIMATION,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300400,2019-09-16,19/0914/ECSS,SERVICE ACCUEIL LOISIRS JEUNES - Financement 2019 de la participation de la Ville au soutien et au développement des Accueils Collectifs de Mineurs engagés dans une démarche de qualité dans le cadre du Contrat Enfance Jeunesse et d'Objectif Jeunes - Approbation d'une convention et d'avenants - 3ème répartition 2019.,DIRECTION DE L'ACTION SOCIALE ET DE L'ANIMATION,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300401,2019-09-16,19/0913/ECSS,Attribution de subventions aux associations sportives - 4ème répartition 2019 - Approbation de conventions - Budget primitif 2019.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300402,2019-09-16,19/0912/ECSS,Politique tarifaire des Sports - Approbation de créations de tarifs pour de nouvelles animations piscines.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300403,2019-09-16,19/0911/ECSS,Mise à disposition à titre gratuit de la salle Vallier au profit du syndicat Force Ouvrière pour l'organisation d'un loto caritatif en partenariat avec l'association Soleil Bleu Azur.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
