Nom du site;Categorie;Adresse 1;Adresse 2;Code Postal;Ville;Numero de telephone;Email;Longitude;Latitude
Ecole Fondacle;Ecoles maternelles;5 traverse des Platrieres;;13013;Marseille;04 91 66 52 20;ecole.mat.fondacle@cime.org;5.45011569477983;43.3201783463488
Ecole Les Olives;Ecoles maternelles;Rue Lafferage;;13013;Marseille;04 91 66 36 25;ecole.mat.lesolives@cime.org;5.45548493293746;43.3257980730011
Ecole La Rose Castors;Ecoles maternelles;87 rue Albert Einstein;;13013;Marseille;04 91 66 35 67;ecole.mat.rosecastors@cime.org;5.43334512341359;43.3371679998206
Ecole Saint Jerome Susini;Ecoles maternelles;2 traverse Charles Susini;;13013;Marseille;04 91 66 38 60;ecole.mat.susini@cime.org;5.4197766991125;43.334172154896
Ecole Les Martegaux;Ecoles maternelles;impasse des Baudillons;;13013;Marseille;04 91 06 55 09;ecole.mat.martegaux@cime.org;5.4413036801914;43.3260262670056
Ecole Bois Luzy;Ecoles maternelles;Allee des Primeveres;;13012;Marseille;04 91 93 35 90;ecole.mat.boisluzy@cime.org;5.42683130944854;43.3124174156379
Ecole Les Trois Lucs;Ecoles maternelles;373 av des Poilus;;13012;Marseille;04 91 93 71 46;ecole.mat.3lucs@cime.org;5.46221657626957;43.315308746516
Ecole Beaumont Bombardiere;Ecoles maternelles;213 rue charles kaddouz;;13012;Marseille;04 91 93 34 16;ecole.mat.beaumontbombardiere@cime.org;5.43844415251769;43.3184297880945
Ecole La Rose;Ecoles maternelles;Place de la Rose;;13013;Marseille;04 91 66 21 71;ecole.roseplace@cime.org;5.42785370272229;43.3288400422147
Ecole La Rose Frais Vallon Sud;Ecoles maternelles;26 avenue de Frais Vallon;;13013;Marseille;04 91 66 36 12;ecole.mat.fraisvallonsud@cime.org;5.42388529766081;43.3240534501987
Ecole La Rose La Garde;Ecoles maternelles;11 boulevard du Metro;;13013;Marseille;04 91 66 36 77;ecole.mat.roselagarde@cime.org;5.42823635853376;43.3329869861487
Ecole La Rose Frais Vallon Centre;Ecoles maternelles;4 impasse Ravel;;13013;Marseille;04 91 66 24 52;ecole.mat.fraisvalloncentre@cime.org;5.43104215502591;43.3263050445307
Ecole Prairies;Ecoles maternelles;40 chemin rural de Ste Mitre à Four de Buze;;13013;Marseille;04 91 66 19 86;ecole.mat.prairies@cime.org;5.41756813788484;43.3438774959287
Ecole Pommier;Ecoles maternelles;3 rue Pommier;;13003;Marseille;04 91 64 03 58;ecole.mat.pommier@cime.org;5.38112438411527;43.3091118542945
Ecole Saint Gabriel;Ecoles maternelles;80 Chemin de Gibbes;;13014;Marseille;04 91 02 58 10;ecole.mat.saintgabriel@cime.org;5.38103132363404;43.3218667063045
Ecole Parc Bellevue;Ecoles maternelles;143 Rue Felix Pyat;;13003;Marseille;04 91 58 26 82;ecole.mat.parcbellevue@cime.org;5.37386912708945;43.3173716659638
Ecole Sainte Marthe;Ecoles maternelles;boulevard Ricoux;;13014;Marseille;04 91 98 39 92;ecole.mat.saintemarthe@cime.org;5.38913539959767;43.338442932943
Ecole Belle De Mai;Ecoles maternelles;2 rue docteur Leon Perrin;;13003;Marseille;04 91 62 17 13;ecole.mat.belledemai@cime.org;5.38654028012012;43.3135353258158
Ecole Canet Larousse;Ecoles maternelles;boulevard Larousse;;13014;Marseille;04 91 67 53 17;ecole.mat.canetlarousse@cime.org;5.3816012348329;43.3296910503529
Ecole Sinoncelli;Ecoles maternelles;49 rue Boisselot;;13014;Marseille;04 91 64 03 95;ecole.mat.sinoncelli@cime.org;5.38880719128556;43.3186930253747
Ecole Canet Jean Jaures;Ecoles maternelles;20 Rue du Muret;;13014;Marseille;04 91 98 00 27;ecole.mat.canetjeanjaures@cime.org;5.38076837741815;43.3315810350172
Ecole Saint Joseph Servieres;Ecoles maternelles;Rue du Capricorne;;13015;Marseille;04 91 60 61 67;ecole.mat.servieres@cime.org;5.37375227603238;43.34436257757
Ecole Revolution;Ecoles maternelles;45 av Edouard Vaillant;;13003;Marseille;04 91 02 57 68;ecole.mat.revolution@cime.org;5.38300180371684;43.3145924561765
Ecole La Maurelette;Ecoles maternelles;39 boulevard Simon Bolivar;;13015;Marseille;04 91 60 16 87;ecole.mat.maurelette@cime.org;5.37625709128687;43.3448032003472
Ecole Clair Soleil;Ecoles maternelles;55 boulevard Charles-Moretti;;13014;Marseille;04 91 67 37 74;ecole.mat.clairsoleil@cime.org;5.38616864011417;43.3237662284348
Ecole La Simiane;Ecoles maternelles;chemin de Sainte Marthe à Saint Joseph;;13014;Marseille;04 91 98 56 27;ecole.mat.simiane@cime.org;5.38412879510801;43.3439324199198
Ecole Strasbourg;Ecoles maternelles;56 Boulevard de Strasbourg;;13003;Marseille;04 91 50 72 05;ecole.mat.strasbourg@cime.org;5.37794431806882;43.3071371876917
Ecole Visitation;Ecoles maternelles;38 boulevard Frederic Sauvage;;13014;Marseille;04 91 98 24 81;ecole.mat.visitation@cime.org;5.36867004015652;43.3371769190256
Ecole Saint Savournin;Ecoles maternelles;62 rue Saint Savournin;;13001;Marseille;04 91 37 71 61;;5.38726915037724;43.2974510456258
Ecole Bugeaud;Ecoles maternelles;12 rue Bugeaud;;13003;Marseille;;;5.38567523735269;43.3073209456161
Ecole Felix Pyat;Ecoles maternelles;54 rue Felix Pyat;;13003;Marseille;04 91 50 11 24;ecole.felixpyat@cime.org;5.3753685038696;43.3149864706895
Ecole Chutes Lavie;Ecoles maternelles;63 allee des platanes;;13004;Marseille;04 91 50 41 80;ecole.mat.platanes@cime.org;5.39506162036388;43.3158319198042
Ecole Malpasse Les Lauriers;Ecoles maternelles;9 rue de Marathon;;13013;Marseille;04 91 70 38 48;ecole.mat.malpasseleslauriers@cime.org;5.41304438008038;43.3268148732972
Ecole Parc Des Chartreux;Ecoles maternelles;61 av de Saint Just;;13013;Marseille;04 91 66 47 41;ecole.mat.parcdeschartreux@cime.org;5.4047212156353;43.317616817292
Ecole Busserine;Ecoles maternelles;36 rue de la Busserine;;13014;Marseille;04 91 98 32 93;ecole.mat.busserine@cime.org;5.39531987389837;43.3302869460486
Ecole Bouge;Ecoles maternelles;28 rue Marathon;;13013;Marseille;04 91 66 34 84;ecole.mat.bouge@cime.org;5.41247272923899;43.3262673221256
Ecole Emile Vayssiere 2;Ecoles maternelles;6 rue de la Crau;;13014;Marseille;04 91 98 19 45;ecole.mat.vayssiere2@cime.org;5.39790031703743;43.3355378744138
Ecole Saint Just Corot;Ecoles maternelles;130 avenue Corot;;13013;Marseille;04 91 66 38 75;ecole.mat.saintjustcorot@cime.org;5.40554194374479;43.3240283212805
Ecole Saint Jerome Les Lilas;Ecoles maternelles;2 rue Fernand Leger;;13013;Marseille;04 91 98 15 58;ecole.mat.saintjeromeleslilas@cime.org;5.41089483956573;43.3312383508077
Ecole Saint Barthelemy Sncf;Ecoles maternelles;chemin de Sainte Marthe;;13014;Marseille;04 91 98 22 03;ecole.mat.saintbarthelemy.sncf@cime.org;5.39053479670699;43.3237137069555
Ecole Saint Just Centre;Ecoles maternelles;12 rue Saint Georges;;13013;Marseille;04 91 66 38 67;ecole.mat.saintjustcentre@cime.org;5.40593956634611;43.3191051004485
Ecole Chartreux Albe;Ecoles maternelles;19 Rue Vincent Faeta;;13004;Marseille;04 91 06 33 54;ecole.mat.chartreuxhbm@cime.org;5.40790726810788;43.3131862105156
Ecole Merlan;Ecoles maternelles;66 avenue du Merlan;;13014;Marseille;04 91 98 20 44;ecole.mat.merlanvillage@cime.org;5.40864198079272;43.3384886182497
Ecole Emile Vayssiere 3;Ecoles maternelles;5 rue de La Crau;;13014;Marseille;04 91 98 34 42;ecole.mat.vayssiere3@cime.org;5.39822222149486;43.3344085203129
Ecole Font Vert;Ecoles maternelles;216 chemin de Sainte Marthe;;13014;Marseille;04 91 98 32 95;ecole.mat.fontvert@cime.org;5.39018609230492;43.3286658698069
Ecole Chartreux Eugene Cas;Ecoles maternelles;217 Avenue des Chartreux;;13004;Marseille;04 91 64 27 30;ecole.mat.eugenecas@cime.org;5.40027944703032;43.3121290533848
Ecole Chutes Lavie Hlm Mediterranee;Ecoles maternelles;1 bis Avenue des Chutes Lavie;;13004;Marseille;04 91 50 42 19;ecole.mat.htm@cime.org;5.39515776021909;43.3120318780981
Ecole La Feuilleraie;Ecoles maternelles;87 boulevard de Roux;;13004;Marseille;04 91 49 48 21;ecole.mat.feuilleraie@cime.org;5.40863952107309;43.3075730734802
Ecole Malpasse Les Floralies;Ecoles maternelles;81 boulevard Barry;;13013;Marseille;04 91 70 84 87;ecole.mat.florelies@cime.org;5.41205658751798;43.3198648967351
Ecole Malpasse Les Oliviers;Ecoles maternelles;4 avenue Saint Paul;;13013;Marseille;04 91 66 28 32;ecole.mat.malpasselesoliviers@cime.org;5.40727896322846;43.3286762552505
Ecole Merlan Cerisaie;Ecoles maternelles;chemin du Bassin;;13014;Marseille;04 91 98 10 74;ecole.mat.merlancerisaie@cime.org;5.40554253466615;43.3393055877083
Ecole Saint Barthelemy Les Flamants;Ecoles maternelles;64 Bd Alexandre Ansaldi;;13014;Marseille;04 91 98 23 42;ecole.mat.flamants@cime.org;5.40336400511188;43.3309719791082
Ecole Aygalades Nouvelles;Ecoles maternelles;14 Bd Falque;;13015;Marseille;04 91 60 77 68;ecole.mat.aygaladesnouvelles@cime.org;5.36679797876261;43.3547161919224
Ecole Parc Kalliste;Ecoles maternelles;Notre Dame Limite;;13015;Marseille;04 91 51 37 85;ecole.mat.parckalliste@cime.org;5.36492753922607;43.3864037983371
Ecole Les Borels;Ecoles maternelles;3 boulevard Bellevue;;13015;Marseille;04 91 60 02 39;ecole.mat.lesborels@cime.org;5.36685375188022;43.3627017507726
Ecole Aygalades Oasis;Ecoles maternelles;Traverse de l'ecole Oasis;;13015;Marseille;04 91 60 06 52;ecole.mat.aygaladesoasis@cime.org;5.36809070968023;43.3540137449262
Ecole La Batarelle;Ecoles maternelles;rue de Lissandre;;13014;Marseille;04 91 98 38 59;ecole.mat.batarelle@cime.org;5.41045490486606;43.3561653208844
Ecole Castellas Les Lions;Ecoles maternelles;10 avenue du Castellas;;13015;Marseille;04 91 60 03 21;ecole.mat.castellas@cime.org;5.37731973433219;43.3503238053453
Ecole Graniere;Ecoles maternelles;Chemin des Baumillons;;13015;Marseille;04 91 96 15 36;ecole.mat.lagraniere@cime.org;5.36741870115593;43.3813963169425
Ecole Solidarite 2;Ecoles maternelles;54 route du Vallon-Dol;;13015;Marseille;04 91 51 45 37;ecole.mat.solidarite2@cime.org;5.37263930022461;43.3881551660344
Ecole Vallon Des Tuves;Ecoles maternelles;10 traverse Courtes;;13015;Marseille;04 91 65 62 10;ecole.mat.vallondestuves@cime.org;5.36903664789155;43.3717599537531
Ecole Chateau Gombert Athena;Ecoles maternelles;13 rue Robert de Roux;;13013;Marseille;04 91 61 81 52;ecole.mat.chateaugombertathena@cime.org;5.4446076230417;43.3376150566031
Ecole Saint Joseph Les Micocouliers;Ecoles maternelles;8 boulevard Roland Dorgeles;;13014;Marseille;04 91 60 75 69;ecole.mat.micocouliers@cime.org;5.38010072281018;43.3468113186849
Ecole La Savine;Ecoles maternelles;99 Boulevard de la Savine;;13015;Marseille;04 91 65 25 56;ecole.mat.savine1@cime.org;5.36861947905113;43.3675769926611
Ecole Capelette Cap Est;Ecoles maternelles;45 rue Charles Cerrato;;13010;Marseille;04 91 16 72 20;ecole.capest@cime.org;5.39782459013688;43.2816290157295
Ecole Solidarite 1;Ecoles maternelles;44 chemin de la Bigote;;13015;Marseille;04 91 51 46 17;ecole.mat.solidarite1@cime.org;5.37182952044199;43.3880267038077
Ecole Croix Rouge Village;Ecoles maternelles;36 boulevard Marcel Delprat;;13013;Marseille;04 91 68 12 32;ecole.croixrouge1@cime.org;5.45502146138136;43.3341470347031
Ecole Saint Jerome Place;Ecoles maternelles;boulevard Auphan;;13013;Marseille;04 91 66 40 17;ecole.mat.saintjeromeplace@cime.org;5.41937633401932;43.3299790230244
Ecole Capelette Curtel;Ecoles maternelles;72 rue Alfred Curtel;;13010;Marseille;04 91 23 37 66;ecole.capelettecurtel@cime.org;5.40921305542877;43.2762938330422
Ecole Sainte Marthe-Audisio;Ecoles maternelles;Rue Gabriel Audisio;;13014;Marseille;;;5.39962547912518;43.3424951213521
Ecole Rouet Charles Alle;Ecoles maternelles;Rue Rouet Charles Alle;;13008;Marseille;;;5.39217320598174;43.2797373959261
Ecole Andre Allar;Ecoles maternelles;2 rue Andre Allar;;13015;Marseille;;;5.36423404930952;43.3242626438082
Ecole Eoures;Ecoles maternelles;22 boulevard Notre Dame;;13011;Marseille;04 91 43 01 25;ecole.eoures@cime.org;5.51962641676452;43.3007490911346
Ecole La Rosiere (Figone);Ecoles maternelles;79 avenue de la Figone;;13012;Marseille;04 91 93 00 40;ecole.mat.figone@cime.org;5.43857146211783;43.3054991396261
Ecole Pomme Heckel;Ecoles maternelles;24 Bd du Docteur Heckel;;13011;Marseille;04 91 44 72 98;ecole.mat.pommeheckel@cime.org;5.44061216530112;43.2891694022054
Ecole Valbarelle;Ecoles maternelles;26 av de l'Abbe Lanfranchi;;13011;Marseille;04 91 44 95 41;ecole.mat.valbarelle@cime.org;5.45480893817185;43.2869020176609
Ecole Jouvene Valentine;Ecoles maternelles;chemin des Accates;;13011;Marseille;04 91 43 00 63;ecole.mat.jouvene@cime.org;5.48711323389075;43.2985187386216
Ecole Chanteperdrix;Ecoles maternelles;30 avenue Chanteperdrix;;13010;Marseille;04 91 44 72 49;ecole.mat.chanteperdrix@cime.org;5.43109086092366;43.276112841596
Ecole Saint Marcel;Ecoles maternelles;14 rue Courencq;;13011;Marseille;04 91 44 99 50;ecole.mat.saintmarcel@cime.org;5.46345118436513;43.2860327801868
Ecole Les Camoins;Ecoles maternelles;12 rue Centrale;;13011;Marseille;04 91 43 07 28;ecole.mat.camoins@cime.org;5.5117047887649;43.3012449569249
Ecole La Barasse;Ecoles maternelles;16 boulevard Margaillan;impasse Sauveur;13011;Marseille;04 91 36 12 13;ecole.mat.barasse@cime.org;5.48179692734675;43.2834795413627
Ecole Chateau Saint Jacques;Ecoles maternelles;56 bld de la Valbarelle;;13011;Marseille;04 91 44 72 52;ecole.mat.chateausaintjacques@cime.org;5.4479871690419;43.2848304176252
Ecole La Maurelle-Jonquilles;Ecoles maternelles;170 chemin des Jonquilles;;13013;Marseille;;ecole.mat.jonquilles@cime.org;5.43859075451581;43.3208015958604
