,#,Actions,Code RNE,Appellation,Secteur,Code Postal,Maternelle,Elementaire,Telephone,Web,Mail,Nombre d'élèves,Mode Constructif,Nb élèves par classe,Categorie ERP,Avis de la commission,Effectif Public (CSI),Effectif Personnel (CSI)
,119,"<span data-column-name=""view"" class=""operation-item"">",0130683X,Ecole élémentaire Albert Chabanon,Public,13006,,,0491476794,,ce.0130683X@ac-aix-marseille.fr,292,Eger ou rationalise 1950/1960,17,3,FAVORABLE,280,35
,120,"<span data-column-name=""view"" class=""operation-item"">",0130693H,Ecole élémentaire Cabot,Public,13009,,,0491820454,,ce.0130693H@ac-aix-marseille.fr,195,Ferry jusqu’en 1936,27,4,DEFAVORABLE,215,20
,121,"<span data-column-name=""view"" class=""operation-item"">",0130747S,Ecole élémentaire Mazargues,Public,13009,,,0491400186,,ce.0130747S@ac-aix-marseille.fr,126,Ferry jusqu’en 1936,25,3,DEFAVORABLE,152,23
,122,"<span data-column-name=""view"" class=""operation-item"">",0130788L,Ecole élémentaire Saint Charles 2,Public,13003,,,0491503953,,ce.0130788L@ac-aix-marseille.fr,194,Maison d’Ecole,16,4,DEFAVORABLE,202,15
,123,"<span data-column-name=""view"" class=""operation-item"">",0130790N,Ecole élémentaire Saint Henri Raphel,Public,13016,,,0491460922,,ce.0130790N@ac-aix-marseille.fr,199,Maison d’Ecole,20,NULL,NULL,NULL,NULL
,124,"<span data-column-name=""view"" class=""operation-item"">",0130572B,Ecole élémentaire Grotte Rolland,Public,13008,,,0491733484,,ce.0130572B@ac-aix-marseille.fr,123,Eger ou rationalise 1950/1960,25,4,DEFAVORABLE,126,15
,125,"<span data-column-name=""view"" class=""operation-item"">",0132175U,Ecole élémentaire Saint Loup Centre,Public,13010,,,0491447307,,ce.0132175U@ac-aix-marseille.fr,195,Eger ou rationalise 1950/1960,23,NULL,NULL,NULL,NULL
,126,"<span data-column-name=""view"" class=""operation-item"">",0131229R,Ecole élémentaire Sinoncelli,Public,13014,,,0491508832,,ce.0131229R@ac-aix-marseille.fr,406,Eger ou rationalise 1950/1960,17,2,DEFAVORABLE,678,54
,127,"<span data-column-name=""view"" class=""operation-item"">",0131535Y,Ecole élémentaire Cité Azoulay,Public,13008,,,0491778641,,ce.0131535Y@ac-aix-marseille.fr,244,GEEP,26,3,FAVORABLE,372,34
,128,"<span data-column-name=""view"" class=""operation-item"">",0131641N,Ecole élémentaire Emile Vayssière 1,Public,13014,,,0491982585,,ce.0131641N@ac-aix-marseille.fr,200,GEEP,16,3,FAVORABLE,360,25
,129,"<span data-column-name=""view"" class=""operation-item"">",0132176V,Ecole élémentaire Saint André Barnier,Public,13016,,,0491460583,,ce.0132176V@ac-aix-marseille.fr,226,Autre industrialise & hors modèle,19,3,DEFAVORABLE,250,30
,130,"<span data-column-name=""view"" class=""operation-item"">",0132192M,Ecole élémentaire Saint Joseph Les Micocouliers,Public,13014,,,0491601564,,ce.0132192M@ac-aix-marseille.fr,142,Autre industrialise & hors modèle,21,4,FAVORABLE,236,19
,131,"<span data-column-name=""view"" class=""operation-item"">",0132485F,Ecole élémentaire Pomme Sainte-Madeleine,Public,13011,,,0491447960,,ce.0132485F@ac-aix-marseille.fr,323,Conventionnelle et autres,25,3,FAVORABLE,530,54
,132,"<span data-column-name=""view"" class=""operation-item"">",0132601G,Ecole élémentaire La Batarelle,Public,13014,,,0491984380,,ce.0132601G@ac-aix-marseille.fr,343,Autre industrialise & hors modèle,26,3,DEFAVORABLE,294,20
,133,"<span data-column-name=""view"" class=""operation-item"">",0132603J,Ecole élémentaire Parade,Public,13013,,,0491685000,,ce.0132603J@ac-aix-marseille.fr,348,Autre industrialise & hors modèle,24,3,FAVORABLE,488,36
,134,"<span data-column-name=""view"" class=""operation-item"">",0132610S,Ecole élémentaire Solidarité,Public,13015,,,0491514467,,ce.0132610S@ac-aix-marseille.fr,216,Autre industrialise & hors modèle,18,4,FAVORABLE,260,12
,135,"<span data-column-name=""view"" class=""operation-item"">",0132637W,Ecole élémentaire Emile Vayssière 2,Public,13014,,,0491983917,,ce.0132637W@ac-aix-marseille.fr,215,GEEP,17,4,FAVORABLE,214,15
,136,"<span data-column-name=""view"" class=""operation-item"">",0130514N,Ecole élémentaire Abbé de L'Epée,Public,13005,,,0491347270,,ce.0130514N@ac-aix-marseille.fr,376,Eger ou rationalise 1950/1960,26,3,FAVORABLE,338,30
,137,"<span data-column-name=""view"" class=""operation-item"">",0130521W,Ecole élémentaire La Barasse,Public,13011,,,0491360371,,ce.0130521W@ac-aix-marseille.fr,148,Ferry jusqu’en 1936,24,5,FAVORABLE,165,NULL
,138,"<span data-column-name=""view"" class=""operation-item"">",0130523Y,Ecole élémentaire La Baume,Public,13009,,,0491400982,,ce.0130523Y@ac-aix-marseille.fr,104,Eger ou rationalise 1950/1960,24,4,FAVORABLE,139,18
,139,"<span data-column-name=""view"" class=""operation-item"">",0130533J,Ecole élémentaire Les Borels,Public,13015,,,0491609608,,ce.0130533J@ac-aix-marseille.fr,126,Eger ou rationalise 1950/1960,25,4,DEFAVORABLE,208,21
,140,"<span data-column-name=""view"" class=""operation-item"">",0130534K,Ecole élémentaire La Busserine,Public,13014,,,0491983296,,ce.0130534K@ac-aix-marseille.fr,262,Eger ou rationalise 1950/1960,17,3,DEFAVORABLE,438,50
,141,"<span data-column-name=""view"" class=""operation-item"">",0130538P,Ecole élémentaire Calade,Public,13015,,,0491605117,,ce.0130538P@ac-aix-marseille.fr,351,Eger ou rationalise 1950/1960,20,3,FAVORABLE,342,35
,142,"<span data-column-name=""view"" class=""operation-item"">",0130539R,Ecole élémentaire Les Camoins,Public,13011,,,0491431029,,ce.0130539R@ac-aix-marseille.fr,188,Eger ou rationalise 1950/1960,26,4,FAVORABLE,176,26
,143,"<span data-column-name=""view"" class=""operation-item"">",0130542U,Ecole élémentaire Canet Larousse,Public,13014,,,0491672155,,ce.0130542U@ac-aix-marseille.fr,298,Eger ou rationalise 1950/1960,18,3,DEFAVORABLE,589,40
,144,"<span data-column-name=""view"" class=""operation-item"">",0130543V,Ecole élémentaire Capelette Laugier,Public,13010,,,0491798224,,ce.0130543V@ac-aix-marseille.fr,204,Maison d’Ecole,21,3,FAVORABLE,458,54
,145,"<span data-column-name=""view"" class=""operation-item"">",0130557K,Ecole élémentaire gilles vigneault,Public,13004,,,0491059000,,ce.0130557K@ac-aix-marseille.fr,270,Maison d’Ecole,17,5,NULL,NULL,NULL
,146,"<span data-column-name=""view"" class=""operation-item"">",0130562R,Ecole élémentaire Estaque Plage,Public,13016,,,0491461266,,ce.0130562R@ac-aix-marseille.fr,242,Ferry jusqu’en 1936,20,3,FAVORABLE,227,22
,147,"<span data-column-name=""view"" class=""operation-item"">",0130565U,Ecole élémentaire Eydoux,Public,13006,,,0491485842,,ce.0130565U@ac-aix-marseille.fr,181,Ferry jusqu’en 1936,26,4,FAVORABLE,180,22
,148,"<span data-column-name=""view"" class=""operation-item"">",0130571A,Ecole élémentaire Grand Saint Giniez,Public,13008,,,0491762331,,ce.0130571A@ac-aix-marseille.fr,183,Eger ou rationalise 1950/1960,27,4,FAVORABLE,203,19
,149,"<span data-column-name=""view"" class=""operation-item"">",0130591X,Ecole élémentaire La Millière,Public,13011,,,0491361372,,ce.0130591X@ac-aix-marseille.fr,160,Eger ou rationalise 1950/1960,23,5,FAVORABLE,168,18
,150,"<span data-column-name=""view"" class=""operation-item"">",0130595B,Ecole élémentaire National,Public,13003,,,0491505484,,ce.0130595B@ac-aix-marseille.fr,376,Maison d’Ecole,17,4,DEFAVORABLE,361,30
,151,"<span data-column-name=""view"" class=""operation-item"">",0130598E,Ecole élémentaire Les Olives,Public,13013,,,0491662760,,ce.0130598E@ac-aix-marseille.fr,244,GEEP,25,4,FAVORABLE,193,18
,152,"<span data-column-name=""view"" class=""operation-item"">",0130620D,Ecole élémentaire La Figone,Public,13012,,,0491930088,,ce.0130620D@ac-aix-marseille.fr,372,GEEP,25,3,DEFAVORABLE,520,43
,153,"<span data-column-name=""view"" class=""operation-item"">",0130621E,Ecole élémentaire Le Rouet,Public,13008,,,0491791641,,ce.0130621E@ac-aix-marseille.fr,269,Ferry jusqu’en 1936,24,3,DEFAVORABLE,432,44
,154,"<span data-column-name=""view"" class=""operation-item"">",0130659W,Ecole élémentaire Franklin Roosevelt,Public,13005,,,0491472252,,ce.0130659W@ac-aix-marseille.fr,238,Ferry jusqu’en 1936,25,4,FAVORABLE,242,25
,155,"<span data-column-name=""view"" class=""operation-item"">",0130661Y,Ecole élémentaire Les Trois Ponts,Public,13010,,,0491448954,,ce.0130661Y@ac-aix-marseille.fr,116,Eger ou rationalise 1950/1960,24,NULL,NULL,NULL,NULL
,156,"<span data-column-name=""view"" class=""operation-item"">",0130665C,Ecole élémentaire Vallon de L'Oriol,Public,13007,,,0491520593,,ce.0130665C@ac-aix-marseille.fr,134,GEEP,25,NULL,NULL,NULL,NULL
,157,"<span data-column-name=""view"" class=""operation-item"">",0130691F,Ecole élémentaire Breteuil,Public,13006,,,0491371026,,ce.0130691F@ac-aix-marseille.fr,109,Maison d’Ecole,22,4,FAVORABLE,108,12
,158,"<span data-column-name=""view"" class=""operation-item"">",0130698N,Ecole élémentaire Canet Barbès,Public,13014,,,0491673167,,ce.0130698N@ac-aix-marseille.fr,119,Ferry jusqu’en 1936,17,4,FAVORABLE,125,13
,159,"<span data-column-name=""view"" class=""operation-item"">",0130702T,Ecole élémentaire Chartreux,Public,13004,,,0491505765,,ce.0130702T@ac-aix-marseille.fr,198,Maison d’Ecole,25,4,DEFAVORABLE,210,18
,160,"<span data-column-name=""view"" class=""operation-item"">",0130706X,Ecole élémentaire Cité Michelis 2,Public,13011,,,0491447050,,ce.0130706X@ac-aix-marseille.fr,200,Eger ou rationalise 1950/1960,25,3,FAVORABLE,399,46
,161,"<span data-column-name=""view"" class=""operation-item"">",0130741K,Ecole élémentaire Cathédrale de la Major,Public,13002,,,0491912151,,ce.0130741K@ac-aix-marseille.fr,210,Ferry jusqu’en 1936,17,3,FAVORABLE,308,14
,162,"<span data-column-name=""view"" class=""operation-item"">",0130795U,Ecole élémentaire Saint Julien 2,Public,13012,,,0491932381,,ce.0130795U@ac-aix-marseille.fr,154,Maison d’Ecole,26,NULL,NULL,NULL,NULL
,163,"<span data-column-name=""view"" class=""operation-item"">",0130796V,Ecole élémentaire Saint-Just Centre 2,Public,13013,,,0491663620,,ce.0130796V@ac-aix-marseille.fr,166,Ferry jusqu’en 1936,14,4,FAVORABLE,176,12
,164,"<span data-column-name=""view"" class=""operation-item"">",0131243F,Ecole élémentaire Château Saint Cyr,Public,13010,,,0491445713,,ce.0131243F@ac-aix-marseille.fr,251,Conventionnelle et autres,25,3,FAVORABLE,351,36
,165,"<span data-column-name=""view"" class=""operation-item"">",0131271L,Ecole élémentaire La Visitation,Public,13014,,,0491982363,,ce.0131271L@ac-aix-marseille.fr,122,GEEP,16,4,DEFAVORABLE,250,21
,166,"<span data-column-name=""view"" class=""operation-item"">",0131532V,Ecole éléméntaire Château Sec,Public,13009,,,0491755092,,ce.0131532V@ac-aix-marseille.fr,283,Eger ou rationalise 1950/1960,25,3,FAVORABLE,322,18
,167,"<span data-column-name=""view"" class=""operation-item"">",0131540D,Ecole élémentaire Saint Louis Le Rove,Public,13015,,,0491609633,,ce.0131540D@ac-aix-marseille.fr,317,GEEP,17,3,FAVORABLE,505,35
,168,"<span data-column-name=""view"" class=""operation-item"">",0131543G,Ecole élémentaire Font Vert,Public,13014,,,0491022289,,ce.0131543G@ac-aix-marseille.fr,230,Autre industrialise & hors modèle,15,4,FAVORABLE,200,10
,169,"<span data-column-name=""view"" class=""operation-item"">",0131552S,Ecole élémentaire Raymond Teisseire,Public,13008,,,0491794306,,ce.0131552S@ac-aix-marseille.fr,285,Eger ou rationalise 1950/1960,25,3,FAVORABLE,479,40
,170,"<span data-column-name=""view"" class=""operation-item"">",0131642P,Ecole élémentaire Saint Loup Chanteperdrix,Public,13010,,,0491447701,,ce.0131642P@ac-aix-marseille.fr,102,Eger ou rationalise 1950/1960,19,NULL,NULL,NULL,NULL
,171,"<span data-column-name=""view"" class=""operation-item"">",0131652A,Ecole élémentaire Saint Jérôme Les Lilas,Public,13013,,,0491981105,,ce.0131652A@ac-aix-marseille.fr,223,Autre industrialise & hors modèle,18,NULL,NULL,NULL,NULL
,172,"<span data-column-name=""view"" class=""operation-item"">",0131856X,Ecole élémentaire Malpassé Les Oliviers,Public,13013,,,0491663784,,ce.0131856X@ac-aix-marseille.fr,281,GEEP,16,4,DEFAVORABLE,292,30
,173,"<span data-column-name=""view"" class=""operation-item"">",0132185E,Ecole élémentaire Bois Lemaitre,Public,13012,,,0491930626,,ce.0132185E@ac-aix-marseille.fr,147,Eger ou rationalise 1950/1960,26,4,FAVORABLE,272,25
,174,"<span data-column-name=""view"" class=""operation-item"">",0132428U,Ecole élémentaire Air Bel,Public,13011,,,0491352006,,ce.0132428U@ac-aix-marseille.fr,285,Conventionnelle et autres,18,NULL,NULL,NULL,NULL
,175,"<span data-column-name=""view"" class=""operation-item"">",0132574C,Ecole élémentaire Zac de Mazargues la soude,Public,13009,,,0491400323,,ce.0132574C@ac-aix-marseille.fr,180,Conventionnelle et autres,21,3,FAVORABLE,310,NULL
,176,"<span data-column-name=""view"" class=""operation-item"">",0132605L,Ecole élémentaire Les Néréides,Public,13011,,,0491353801,,ce.0132605L@ac-aix-marseille.fr,121,Eger ou rationalise 1950/1960,17,4,FAVORABLE,123,15
,177,"<span data-column-name=""view"" class=""operation-item"">",0132758C,Ecole élémentaire Zac de Bonneveine,Public,13008,,,0491721724,,ce.0132758C@ac-aix-marseille.fr,195,Conventionnelle et autres,23,3,DEFAVORABLE,344,34
,178,"<span data-column-name=""view"" class=""operation-item"">",0130559M,Ecole élémentaire d'application Edouard Vaillant,Public,13003,,,0491026690,,ce.0130559M@ac-aix-marseille.fr,262,Front populaire 1936/1938,8,3,DEFAVORABLE,282,30
,179,"<span data-column-name=""view"" class=""operation-item"">",0131530T,Ecole élémentaire d'application Chartreux Eugène Cas 2,Public,13004,,,0491507558,,ce.0131530T@ac-aix-marseille.fr,184,GEEP,13,3,DEFAVORABLE,566,61
,180,"<span data-column-name=""view"" class=""operation-item"">",0131537A,Ecole élémentaire Peyssonnel 1,Public,13003,,,0491503762,,ce.0131537A@ac-aix-marseille.fr,236,Eger ou rationalise 1950/1960,17,2,DEFAVORABLE,666,75
,181,"<span data-column-name=""view"" class=""operation-item"">",0132638X,Ecole élémentaire Cours Julien,Public,13006,,,0491471918,,ce.0132638X@ac-aix-marseille.fr,94,Maison d’Ecole,24,4,FAVORABLE,160,24
,182,"<span data-column-name=""view"" class=""operation-item"">",0133655C,Ecole élémentaire Maurice Korsec,Public,13001,,,0491901576,,ce.0133655C@ac-aix-marseille.fr,280,Ferry jusqu’en 1936,17,3,DEFAVORABLE,297,33
,183,"<span data-column-name=""view"" class=""operation-item"">",0130555H,Ecole élémentaire Convalescents,Public,13001,,,0491910693,,ce.0130555H@ac-aix-marseille.fr,222,Ferry jusqu’en 1936,16,4,FAVORABLE,243,26
,184,"<span data-column-name=""view"" class=""operation-item"">",0130637X,Ecole élémentaire Saint Julien 1,Public,13012,,,0491933390,,ce.0130637X@ac-aix-marseille.fr,163,Eger ou rationalise 1950/1960,27,4,FAVORABLE,135,10
,185,"<span data-column-name=""view"" class=""operation-item"">",0130769R,Ecole élémentaire Cabot Les Pins,Public,13009,,,0491413454,,ce.0130769R@ac-aix-marseille.fr,269,Conventionnelle et autres,27,3,DEFAVORABLE,297,16
,186,"<span data-column-name=""view"" class=""operation-item"">",0130638Y,Ecole élémentaire Saint-Just Centre 1,Public,13013,,,0491664311,,ce.0130638Y@ac-aix-marseille.fr,251,Ferry jusqu’en 1936,25,4,FAVORABLE,253,NULL
,187,"<span data-column-name=""view"" class=""operation-item"">",0130735D,Ecole élémentaire Kléber,Public,13003,,,0491508334,,ce.0130735D@ac-aix-marseille.fr,300,Ferry jusqu’en 1936,17,3,DEFAVORABLE,303,34
,188,"<span data-column-name=""view"" class=""operation-item"">",0132483D,Ecole élémentaire Savine,Public,13015,,,0491655027,,ce.0132483D@ac-aix-marseille.fr,83,Autre industrialise & hors modèle,16,4,FAVORABLE,95,14
,189,"<span data-column-name=""view"" class=""operation-item"">",0133821H,ECOLE ELEMENTAIRE ZAC CHATEAU GOMBERT,Public,13013,,,0491618160,,ce.0133821H@ac-aix-marseille.fr,323,Conventionnelle et autres,26,4,FAVORABLE,205,16
,190,"<span data-column-name=""view"" class=""operation-item"">",0134240N,Ecole élémentaire publique Révolution Vaillant,Public,13003,,,,,ce.0134240N@ac-aix-marseille.fr,124,Ferry jusqu’en 1936,17,NULL,NULL,NULL,NULL
,191,"<span data-column-name=""view"" class=""operation-item"">",0130700R,Ecole élémentaire Capelette Mireille Lauze,Public,13010,,,0491795337,,ce.0130700R@ac-aix-marseille.fr,313,Eger ou rationalise 1950/1960,26,3,FAVORABLE,313,13
,192,"<span data-column-name=""view"" class=""operation-item"">",0130629N,Ecole élémentaire Saint Barthélémy SNCF,Public,13014,,,0491981910,,ce.0130629N@ac-aix-marseille.fr,437,Eger ou rationalise 1950/1960,18,2,DEFAVORABLE,836,83
,193,"<span data-column-name=""view"" class=""operation-item"">",0133633D,Ecole élémentaire Arenc Bachas,Public,13015,,,0491627577,,ce.0133633D@ac-aix-marseille.fr,183,Ferry jusqu’en 1936,14,3,FAVORABLE,300,37
,194,"<span data-column-name=""view"" class=""operation-item"">",0132179Y,Ecole élémentaire Canet Jean Jaurès,Public,13014,,,0491980069,,ce.0132179Y@ac-aix-marseille.fr,256,Autre industrialise & hors modèle,20,3,FAVORABLE,407,45
,195,"<span data-column-name=""view"" class=""operation-item"">",0133998A,école élémentaire chevalier paul,Public,13002,,,0491934751,,ce.0133998A@ac-aix-marseille.fr,146,Conventionnelle et autres,16,3,FAVORABLE,424,22
,196,"<span data-column-name=""view"" class=""operation-item"">",0130518T,Ecole élémentaire Parc Bellevue,Public,13003,,,0491582686,,ce.0130518T@ac-aix-marseille.fr,257,Autre industrialise & hors modèle,17,4,DEFAVORABLE,464,46
,197,"<span data-column-name=""view"" class=""operation-item"">",0130527C,Ecole élémentaire Bernard Cadenat,Public,13003,,,0491503738,,ce.0130527C@ac-aix-marseille.fr,387,Front populaire 1936/1938,18,3,FAVORABLE,376,30
,198,"<span data-column-name=""view"" class=""operation-item"">",0130577G,Ecole élémentaire Lapin Blanc des Neiges,Public,13008,,,0491732750,,ce.0130577G@ac-aix-marseille.fr,132,Ferry jusqu’en 1936,24,5,FAVORABLE,140,9
,199,"<span data-column-name=""view"" class=""operation-item"">",0130636W,Ecole élémentaire Saint Joseph Servières,Public,13015,,,0491605335,,ce.0130636W@ac-aix-marseille.fr,106,Eger ou rationalise 1950/1960,16,5,DEFAVORABLE,98,20
,200,"<span data-column-name=""view"" class=""operation-item"">",0134231D,Ecole élémentaire publique Madrague Ville,Public,13002,,,0491580071,,ce.0134231D@ac-aix-marseille.fr,180,Conventionnelle et autres,15,4,FAVORABLE,210,25
,201,"<span data-column-name=""view"" class=""operation-item"">",0130550C,Ecole élémentaire Chave,Public,13005,,,0491422060,,ce.0130550C@ac-aix-marseille.fr,266,Eger ou rationalise 1950/1960,26,3,FAVORABLE,445,43
,202,"<span data-column-name=""view"" class=""operation-item"">",0130597D,école élémentaire publique Oddo,Public,13015,,,0491580042,,ce.0130597D@ac-aix-marseille.fr,167,Ferry jusqu’en 1936,16,4,FAVORABLE,220,NULL
,203,"<span data-column-name=""view"" class=""operation-item"">",0130960Y,Ecole autonome de perfectionnement Centre Esperanza,Public,13012,,,0491933039,,ce.0130960Y@ac-aix-marseille.fr,35,,8,NULL,NULL,NULL,NULL
,204,"<span data-column-name=""view"" class=""operation-item"">",0130834L,Ecole maternelle d'application Consolat-Abeilles,Public,13001,,,0491085403,,ce.0130834L@ac-aix-marseille.fr,136,Maison d’Ecole,13,NULL,NULL,NULL,NULL
,205,"<span data-column-name=""view"" class=""operation-item"">",0130953R,Ecole maternelle d'application La Valbarelle,Public,13011,,,0491449541,,ce.0130953R@ac-aix-marseille.fr,87,Eger ou rationalise 1950/1960,11,4,FAVORABLE,148,12
,206,"<span data-column-name=""view"" class=""operation-item"">",0130868Y,Ecole maternelle d'application Edouard Vaillant,Public,13003,,,0491025733,,ce.0130868Y@ac-aix-marseille.fr,206,Front populaire 1936/1938,14,4,FAVORABLE,204,19
,207,"<span data-column-name=""view"" class=""operation-item"">",0131247K,Ecole maternelle Rose Frais Vallon Nord,Public,13013,,,0491661432,,ce.0131247K@ac-aix-marseille.fr,93,Eger ou rationalise 1950/1960,21,3,DEFAVORABLE,298,28
,208,"<span data-column-name=""view"" class=""operation-item"">",0133656D,Ecole maternelle Fiolle -Falque,Public,13006,,,0491371096,,ce.0133656D@ac-aix-marseille.fr,150,Conventionnelle et autres,26,3,FAVORABLE,367,35
,209,"<span data-column-name=""view"" class=""operation-item"">",0130836N,Ecole maternelle Parc Bellevue,Public,13003,,,0491582682,,ce.0130836N@ac-aix-marseille.fr,134,Autre industrialise & hors modèle,26,4,DEFAVORABLE,464,46
,210,"<span data-column-name=""view"" class=""operation-item"">",0130838R,Ecole maternelle Baille,Public,13005,,,0491784219,,ce.0130838R@ac-aix-marseille.fr,91,Maison d’Ecole,25,4,FAVORABLE,70,8
,211,"<span data-column-name=""view"" class=""operation-item"">",0130899G,Ecole maternelle Neuve-Sainte-Catherine,Public,13007,,,0491540830,,ce.0130899G@ac-aix-marseille.fr,162,Ferry jusqu’en 1936,23,4,FAVORABLE,100,15
,212,"<span data-column-name=""view"" class=""operation-item"">",0130907R,Ecole maternelle Paul Codaccioni,Public,13007,,,0491525461,,ce.0130907R@ac-aix-marseille.fr,154,Conventionnelle et autres,28,4,FAVORABLE,162,6
,213,"<span data-column-name=""view"" class=""operation-item"">",0130910U,Ecole maternelle Le Pharo,Public,13007,,,0491520849,,ce.0130910U@ac-aix-marseille.fr,143,Eger ou rationalise 1950/1960,31,3,FAVORABLE,394,29
,214,"<span data-column-name=""view"" class=""operation-item"">",0130913X,Ecole maternelle Grande Bastide Cazaulx,Public,13012,,,0491930048,,ce.0130913X@ac-aix-marseille.fr,153,GEEP,25,3,DEFAVORABLE,424,47
,215,"<span data-column-name=""view"" class=""operation-item"">",0130925K,Ecole maternelle Saint-Antoine Centre,Public,13015,,,0491512802,,ce.0130925K@ac-aix-marseille.fr,85,Eger ou rationalise 1950/1960,28,NULL,NULL,NULL,NULL
,216,"<span data-column-name=""view"" class=""operation-item"">",0130929P,Ecole maternelle Saint-Charles,Public,13003,,,0491624887,,ce.0130929P@ac-aix-marseille.fr,126,Eger ou rationalise 1950/1960,24,4,DEFAVORABLE,291,31
,217,"<span data-column-name=""view"" class=""operation-item"">",0130935W,Ecole maternelle Saint-Just Centre,Public,13013,,,0491663867,,ce.0130935W@ac-aix-marseille.fr,202,Ferry jusqu’en 1936,26,4,FAVORABLE,208,20
,218,"<span data-column-name=""view"" class=""operation-item"">",0130956U,Ecole maternelle Verduron Haut,Public,13015,,,0491511125,,ce.0130956U@ac-aix-marseille.fr,72,Eger ou rationalise 1950/1960,27,5,FAVORABLE,67,10
,219,"<span data-column-name=""view"" class=""operation-item"">",0130958W,Ecole maternelle La Viste Bousquet,Public,13015,,,0491609110,,ce.0130958W@ac-aix-marseille.fr,218,Eger ou rationalise 1950/1960,25,3,FAVORABLE,573,38
,220,"<span data-column-name=""view"" class=""operation-item"">",0131267G,Ecole maternelle Rose La Garde,Public,13013,,,0491663677,,ce.0131267G@ac-aix-marseille.fr,81,GEEP,22,5,DEFAVORABLE,90,14
,221,"<span data-column-name=""view"" class=""operation-item"">",0131277T,Ecole maternelle Notre-Dame Limite HLM Perrin,Public,13015,,,0491512278,,ce.0131277T@ac-aix-marseille.fr,114,GEEP,21,3,FAVORABLE,294,45
,222,"<span data-column-name=""view"" class=""operation-item"">",0131539C,Ecole maternelle Saint-Louis Le Rove,Public,13015,,,0491608227,,ce.0131539C@ac-aix-marseille.fr,199,GEEP,26,3,FAVORABLE,505,35
,223,"<span data-column-name=""view"" class=""operation-item"">",0131647V,Ecole maternelle Saint-Jérôme Les Lilas,Public,13013,,,0491981558,,ce.0131647V@ac-aix-marseille.fr,149,Autre industrialise & hors modèle,22,NULL,NULL,NULL,NULL
,224,"<span data-column-name=""view"" class=""operation-item"">",0132156Y,Ecole maternelle Château Saint-Jacques,Public,13011,,,0491447252,,ce.0132156Y@ac-aix-marseille.fr,112,Conventionnelle et autres,28,NULL,NULL,NULL,NULL
,225,"<span data-column-name=""view"" class=""operation-item"">",0132173S,Ecole maternelle Montolivet,Public,13012,,,0491933939,,ce.0132173S@ac-aix-marseille.fr,138,Maison d’Ecole,24,4,DEFAVORABLE,130,13
,226,"<span data-column-name=""view"" class=""operation-item"">",0132272Z,Ecole maternelle Cité Saint-Louis,Public,13016,,,0491609594,,ce.0132272Z@ac-aix-marseille.fr,86,GEEP,22,4,FAVORABLE,87,9
,227,"<span data-column-name=""view"" class=""operation-item"">",0132287R,Ecole maternelle Malpassé Les Oliviers,Public,13013,,,0491662832,,ce.0132287R@ac-aix-marseille.fr,208,GEEP,23,4,FAVORABLE,0,0
,228,"<span data-column-name=""view"" class=""operation-item"">",0132290U,Ecole maternelle Canet Jean Jaurès,Public,13014,,,0491980027,,ce.0132290U@ac-aix-marseille.fr,128,Autre industrialise & hors modèle,26,3,FAVORABLE,407,45
,229,"<span data-column-name=""view"" class=""operation-item"">",0132328K,Ecole maternelle Bricarde,Public,13015,,,0491961282,,ce.0132328K@ac-aix-marseille.fr,155,Autre industrialise & hors modèle,24,4,FAVORABLE,167,20
,230,"<span data-column-name=""view"" class=""operation-item"">",0132335T,Ecole maternelle Les Balustres,Public,13013,,,0491664829,,ce.0132335T@ac-aix-marseille.fr,103,Autre industrialise & hors modèle,28,NULL,NULL,NULL,NULL
,231,"<span data-column-name=""view"" class=""operation-item"">",0132431X,Ecole maternelle La Timone,Public,13010,,,0491780252,,ce.0132431X@ac-aix-marseille.fr,120,Ferry jusqu’en 1936,29,3,FAVORABLE,305,26
,232,"<span data-column-name=""view"" class=""operation-item"">",0132484E,Ecole maternelle Roy d'Espagne 2,Public,13009,,,0491733637,,ce.0132484E@ac-aix-marseille.fr,72,GEEP,25,3,DEFAVORABLE,237,28
,233,"<span data-column-name=""view"" class=""operation-item"">",0132602H,Ecole maternelle La Batarelle,Public,13014,,,0491983859,,ce.0132602H@ac-aix-marseille.fr,210,Autre industrialise & hors modèle,26,4,DEFAVORABLE,202,14
,234,"<span data-column-name=""view"" class=""operation-item"">",0132604K,Ecole maternelle Eydoux,Public,13006,,,0491471956,,ce.0132604K@ac-aix-marseille.fr,131,Ferry jusqu’en 1936,26,4,FAVORABLE,132,14
,235,"<span data-column-name=""view"" class=""operation-item"">",0132629M,Ecole maternelle Millière,Public,13011,,,0491362450,,ce.0132629M@ac-aix-marseille.fr,117,Conventionnelle et autres,24,4,FAVORABLE,119,12
,236,"<span data-column-name=""view"" class=""operation-item"">",0132995K,Ecole maternelle Saint-Henri 2,Public,13016,,,0491465066,,ce.0132995K@ac-aix-marseille.fr,132,Autre industrialise & hors modèle,23,4,FAVORABLE,133,18
,237,"<span data-column-name=""view"" class=""operation-item"">",0133111L,Ecole maternelle Buzine,Public,13011,,,0491431038,,ce.0133111L@ac-aix-marseille.fr,58,Conventionnelle et autres,31,NULL,NULL,NULL,NULL
,238,"<span data-column-name=""view"" class=""operation-item"">",0133323S,Ecole maternelle Les Martegaux,Public,13013,,,0491506589,,ce.0133323S@ac-aix-marseille.fr,116,Prefabrique ou industrialise,25,NULL,NULL,NULL,NULL
